right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,label
58.303654,75.40927,41.672558,139.40326,119.02464,bad
19.586365,43.998234,35.767857,125.844574,116.21747,bad
78.75467,74.209496,38.029778,134.68341,130.76016,bad
79.06302,84.28899,36.384933,143.39404,145.88998,bad
70.473816,82.92328,43.63007,144.57086,152.66797,bad
48.410812,89.41808,39.094563,141.35333,149.03569,bad
49.71976,31.581984,23.125444,159.21164,155.15819,bad
107.48566,108.37694,44.54186,144.55948,162.05002,bad
94.72155,95.95824,42.437435,152.18884,167.71295,bad
99.10556,89.32275,60.734516,145.47446,166.74226,bad
155.15828,152.43208,22.162954,136.85562,137.65315,bad
151.81609,157.33087,22.126816,138.0176,139.53246,bad
44.580124,55.766315,51.36271,178.32565,175.29114,bad
60.182636,50.920452,43.436676,172.23695,175.02711,bad
36.3991,42.33332,40.372612,169.21526,173.49614,bad
78.34344,86.14537,46.97774,153.30383,146.60321,bad
56.447514,102.44204,44.257244,162.90753,148.4649,bad
42.815403,41.31909,21.271343,113.96108,115.52617,bad
54.81081,52.679813,27.371054,118.33597,117.04154,bad
37.813942,43.155933,30.078474,148.38216,138.7265,bad
15.484417,43.29665,62.767685,171.99786,169.08318,bad
10.315417,49.259552,67.87446,174.70068,170.30487,bad
10.683159,48.46053,67.95556,171.8,168.05833,bad
14.077795,49.47385,55.07432,170.38174,167.91942,bad
11.22279,50.688644,64.96905,173.07478,170.76247,bad
8.983953,48.208557,68.27576,173.90808,167.08817,bad
88.23551,65.7565,50.746586,153.89165,155.70442,bad
75.96713,58.24712,59.34141,164.5005,169.30237,bad
100.98635,78.37891,37.588985,158.68758,158.54123,bad
60.776237,54.604183,16.760145,174.9819,175.0476,bad
99.66686,77.760254,14.993482,168.93716,178.18585,bad
